UNIDADE,GRUPO,QUADRO FIXO,COORDENADAS,REQUISIÇÕES PARADAS,ABERTAS UNIDADES,ABERTAS VOLANTE,FECHADAS VOLANTE,FECHADAS UNIDADE,TOTAL ABERTAS,TOTAL FECHADAS,TOTAL DE CHAMADOS,Backlog Ativo,CONDIÇÃO
NÚCLEO DE MEDICINA DIAGNÓSTICA MOOCA (PAES DE BARROS) - MANUTENÇÃO,Nucleo,NÃO,"-23.580892322731227, -46.586911527513045",1,0,0,39,2,1,41,42,"2,38%",FULFILLED
NÚCLEO DE MEDICINA AVANÇADA IBIRAPUERA - MANUTENÇÃO,Nucleo,SIM,"-23.593727973913666, -46.65333453026906",0,1,2,53,77,3,130,133,"2,26%",FULFILLED
HOSPITAL SANCTA MAGGIORE AMSTERDÃ- MANUTENÇÃO,Hospitais,SIM,"-23.56751683447415, -46.6508921111917",0,34,4,162,1518,38,1680,1718,"2,21%",FULFILLED
HOSPITAL SANCTA MAGGIORE DUBAI - MANUTENÇÃO,Hospitais,SIM,"-23.616977108919112, -46.702266915872755",19,427,0,92,19833,446,19925,20371,"2,19%",FULFILLED
NÚCLEO DE MEDICINA AVANÇADA  BELA VISTA (SÃO CARLOS DO PINHAL) - MANUTENÇÃO,Nucleo,SIM,"-23.56588870627823, -46.64861189781993",0,4,1,54,262,5,316,321,"1,56%",FULFILLED
NÚCLEO DE MEDICINA AVANÇADA ISTAMBUL - MANUTENÇÃO,Nucleo,SIM,"-23.541112217824736, -46.5671318393849",5,4,4,89,745,13,834,847,"1,53%",FULFILLED
NÚCLEO DE MEDICINA AVANÇADA E DIAGNOSTICA BARCELONA - MANUTENÇÃO,Nucleo,SIM,"-23.597471873102013, -46.6852745466207",0,6,4,187,466,10,653,663,"1,51%",FULFILLED
NÚCLEO DE MEDICINA AVANÇADA E DIAGNOSTICA LONDRES - MANUTENÇÃO,Nucleo,SIM,"-23.562519807521344, -46.691900059210184",0,15,7,133,1786,22,1919,1941,"1,13%",FULFILLED
NÚCLEO DE MEDICINA JARDIM PAULISTA (GASTRO) - MANUTENÇÃO,Nucleo,SIM,"-23.582183549327624, -46.666439369040425",8,1,5,89,1335,14,1424,1438,"0,97%",FULFILLED
HOSPITAL SANCTA MAGGIORE SÃO BERNARDO DO CAMPO - MANUTENÇÃO,Hospitais,SIM,"-23.663946692614477, -46.570085525910955",1,5,2,44,950,8,994,1002,"0,80%",FULFILLED
HOSPITAL SANCTA MAGGIORE LIBERDADE - MANUTENÇÃO,Hospitais,SIM,"-23.559130253299674, -46.631981354590444",0,15,0,124,1758,15,1882,1897,"0,79%",FULFILLED
NÚCLEO DE MEDICINA AVANÇADA E DIAGNÓSTICA SANTO ANDRÉ - MANUTENÇÃO,Nucleo,SIM,"-23.66611308676377, -46.54330134262968",0,1,0,38,163,1,201,202,"0,50%",FULFILLED
PRONTO ATENDIMENTO SANCTA MAGGIORE JARDIM PAULISTA - MANUTENÇÃO,Pronto Atendimento,SIM,"-23.58015627957071, -46.66394051004167",1,2,5,89,1585,8,1674,1682,"0,48%",FULFILLED
HOSPITAL SANCTA MAGGIORE RÚSSIA - MANUTENÇÃO,Hospitais,SIM,"-23.580399263492072, -46.710741054644124",0,6,6,169,2419,12,2588,2600,"0,46%",FULFILLED
HOSPITAL SANCTA MAGGIORE PARIS - MANUTENÇÃO,Hospitais,SIM,"-23.61808117885283, -46.63221826268305",9,13,2,133,5250,24,5383,5407,"0,44%",FULFILLED
HOSPITAL SANCTA MAGGIORE ITAIM - MANUTENÇÃO,Hospitais,SIM,"-23.584208809945075, -46.67059466303351",0,19,6,138,10882,25,11020,11045,"0,23%",FULFILLED
HOSPITAL SANCTA MAGGIORE MADRID - MANUTENÇÃO,Hospitais,SIM,"-23.56245686618548, -46.638456903342906",0,30,0,125,13711,30,13836,13866,"0,22%",FULFILLED
HOSPITAL SANCTA MAGGIORE SANTA CECILIA  - MANUTENÇÃO,Hospitais,SIM,"-23.54144813363374, -46.64931761294962",0,11,3,121,10175,14,10296,10310,"0,14%",FULFILLED
NÚCLEO DE MEDICINA AVANÇADA E DIAGNÓSTICA SANTOS - MANUTENÇÃO,Nucleo,SIM,"-23.56616651989745, -46.65191727719075",0,1,0,0,877,1,877,878,"0,11%",FULFILLED
SEDE BRASIL - MANUTENÇÃO,Backoffice e Galpões,SIM,"-23.57547787251169, -46.65716914790972",0,1,0,95,2933,1,3028,3029,"0,03%",FULFILLED
"GALPÃO (RUA SECUNDINO DOMINGUES, 165)",Backoffice e Galpões,SIM,"-23.589188217091422, -46.55941452366783",0,0,0,46,0,0,46,46,"0,00%",FULFILLED
"GALPÃO HENRY FORD. AVENIDA HENRY FORD, 257",Backoffice e Galpões,NÃO,"-23.568546260390992, -46.60132163778837",0,0,0,14,0,0,14,14,"0,00%",FULFILLED
NÚCLEO DE MEDICINA AVANÇADA E DIAGNOSTICA CASCAIS - MANUTENÇÃO,Nucleo,SIM,"-23.978539510009927, -46.308805731857674",0,0,0,9,806,0,815,815,"0,00%",FULFILLED
"PREVENT ASSISTE  (RUA CARDEAL ARCO VERDE, 720)",Backoffice e Galpões,NÃO,"-23.55630369292331, -46.6798604877926",0,0,0,15,0,0,15,15,"0,00%",FULFILLED
PRONTO ATENDIMENTO SANCTA MAGGIORE BUTANTÃ - MANUTENÇÃO,Pronto Atendimento,SIM,"-23.58072931858739, -46.71099096163626",0,0,0,89,1804,0,1893,1893,"0,00%",FULFILLED
